"tripduration","starttime","stoptime","start station name","end station name"
632,"2018-03-01 16:32:05.0070","2018-03-01 16:42:37.4870","Broadway & W 41 St","Broadway & W 41 St"
776,"2018-03-01 16:39:14.7440","2018-03-01 16:52:11.4830","Broadway & W 41 St","Broadway & W 41 St"
1284,"2018-03-01 16:48:58.0690","2018-03-01 17:10:22.3030","Broadway & W 41 St","E 85 St & 3 Ave"
2209,"2018-03-01 16:49:26.6350","2018-03-01 17:26:16.0620","Broadway & W 41 St","Jay St & Tech Pl"
297,"2018-03-01 16:49:45.1440","2018-03-01 16:54:42.8770","Broadway & W 41 St","W 36 St & 9 Ave"
681,"2018-03-01 16:51:13.8050","2018-03-01 17:02:35.5300","Broadway & W 41 St","W 22 St & 8 Ave"
261,"2018-03-01 16:52:47.2170","2018-03-01 16:57:08.2960","Broadway & W 41 St","W 33 St & 7 Ave"
322,"2018-03-01 16:58:34.7870","2018-03-01 17:03:57.7540","Broadway & W 41 St","W 42 St & Dyer Ave"
548,"2018-03-01 16:59:25.7400","2018-03-01 17:08:34.0000","Broadway & W 41 St","11 Ave & W 41 St"
821,"2018-03-01 17:00:17.0450","2018-03-01 17:13:58.7210","Broadway & W 41 St","E 25 St & 2 Ave"
371,"2018-03-01 17:02:03.9780","2018-03-01 17:08:15.0700","Broadway & W 41 St","12 Ave & W 40 St"
1287,"2018-03-01 17:03:27.7970","2018-03-01 17:24:55.7780","Broadway & W 41 St","E 89 St & York Ave"
280,"2018-03-01 17:03:28.8960","2018-03-01 17:08:09.4440","Broadway & W 41 St","8 Ave & W 31 St"
946,"2018-03-01 17:06:48.1060","2018-03-01 17:22:34.8220","Broadway & W 41 St","Amsterdam Ave & W 66 St"
211,"2018-03-01 17:08:05.9980","2018-03-01 17:11:37.8620","Broadway & W 41 St","6 Ave & W 33 St"
1139,"2018-03-01 17:10:12.2440","2018-03-01 17:29:11.8910","Broadway & W 41 St","Sullivan St & Washington Sq"
473,"2018-03-01 17:11:59.1660","2018-03-01 17:19:53.1110","Broadway & W 41 St","W 20 St & 7 Ave"
838,"2018-03-01 17:15:03.0360","2018-03-01 17:29:01.1640","Broadway & W 41 St","W 20 St & 11 Ave"
627,"2018-03-01 17:16:42.6410","2018-03-01 17:27:10.1710","Broadway & W 41 St","W 54 St & 9 Ave"
1087,"2018-03-01 17:20:49.1250","2018-03-01 17:38:56.4610","Broadway & W 41 St","St Marks Pl & 2 Ave"
463,"2018-03-01 17:23:26.8460","2018-03-01 17:31:10.7170","Broadway & W 41 St","11 Ave & W 41 St"
275,"2018-03-01 17:24:38.5900","2018-03-01 17:29:14.3100","Broadway & W 41 St","W 33 St & 7 Ave"
471,"2018-03-01 17:24:43.4910","2018-03-01 17:32:34.5300","Broadway & W 41 St","11 Ave & W 41 St"
443,"2018-03-01 17:24:55.8120","2018-03-01 17:32:19.5890","Broadway & W 41 St","E 30 St & Park Ave S"
1058,"2018-03-01 17:26:04.0900","2018-03-01 17:43:43.0850","Broadway & W 41 St","E 11 St & Broadway"
972,"2018-03-01 17:26:25.6550","2018-03-01 17:42:38.5030","Broadway & W 41 St","W 17 St & 9 Ave"
1017,"2018-03-01 17:26:37.3680","2018-03-01 17:43:34.3800","Broadway & W 41 St","E 11 St & Broadway"
345,"2018-03-01 17:36:55.7120","2018-03-01 17:42:41.3090","Broadway & W 41 St","Pershing Square North"
632,"2018-03-01 17:41:33.3220","2018-03-01 17:52:05.5060","Broadway & W 41 St","E 19 St & 3 Ave"
561,"2018-03-01 17:43:00.5490","2018-03-01 17:52:22.1970","Broadway & W 41 St","FDR Drive & E 35 St"
702,"2018-03-01 17:43:00.8840","2018-03-01 17:54:43.0060","Broadway & W 41 St","E 20 St & 2 Ave"
256,"2018-03-01 17:45:47.7490","2018-03-01 17:50:04.5140","Broadway & W 41 St","Pershing Square North"
479,"2018-03-01 17:46:13.8040","2018-03-01 17:54:13.0700","Broadway & W 41 St","W 20 St & 7 Ave"
1228,"2018-03-01 18:08:32.5340","2018-03-01 18:29:00.9060","Broadway & W 41 St","W 76 St & Columbus Ave"
290,"2018-03-01 18:08:46.6680","2018-03-01 18:13:36.7350","Broadway & W 41 St","Pershing Square North"
690,"2018-03-01 18:08:47.6550","2018-03-01 18:20:18.2400","Broadway & W 41 St","E 17 St & Broadway"
